speed_m_s,rpm,steering_deg,distance_m,accel_m_s2,lateral_acc_m_s2,battery_pct,distance_front_m,event_code,manoeuvre,terrain_type,weather_condition,gps_lat,gps_lon
8.152358539877216,1402.315561834783,0.0,11.500902391612914,8.152358539877216,-0.05199920531202478,99.97376599808435,15.940564716391213,beschleunigung,geradeaus,trail,snow,48.775845,9.182932
7.8418787038282085,1414.8397015671383,0.0,8.29391214485284,-0.31047983604900775,-0.0008400578752144398,99.96402607599885,15.879397974862828,fahrt,geradeaus,street,snow,48.775845,9.182987
8.233754671126023,1479.5795452533716,0.0,10.737501568164998,0.39187596729781493,-0.04296462314416191,99.95391891892878,14.041117399171002,fahrt,geradeaus,outdoor,snow,48.775845,9.183041
7.659535227798029,1405.3318002813128,0.0,9.690941035862396,-0.5742194433279941,0.06112706693370151,99.9407989959923,14.571672177836893,fahrt,geradeaus,forest,clear,48.775845,9.183096
8.206366305797994,1436.457298631245,0.0,14.283295201740923,0.5468310779999648,0.021541050150394137,99.92640588726837,14.593584983615385,fahrt,geradeaus,indoor,wind,48.775845,9.18315
8.564486146360446,1578.7702149050524,0.0,8.319687046074943,0.35811984056245194,-0.005697372882743754,99.91515281657175,14.17551878430876,fahrt,geradeaus,outdoor,snow,48.775845,9.183205
7.414402414818731,1345.5268645038223,0.0,8.668980585422611,-1.1500837315417147,0.02715771341525975,99.9032311866454,15.23216132306672,fahrt,geradeaus,outdoor,fog,48.775845,9.18326
8.111797774387341,1387.2658083969382,0.0,10.135158138977783,0.6973953595686098,0.03394567815359475,99.89225995930177,15.289119398689984,fahrt,geradeaus,outdoor,snow,48.775845,9.183314
7.764813672853602,1446.0803788432224,0.0,9.449715497546633,-0.3469841015337387,-0.0319438924121671,99.87766826134387,16.494941311234395,fahrt,geradeaus,trail,storm,48.775845,9.183369
7.832557485007112,1392.4240936888582,0.0,11.172444662718556,0.06774381215350989,0.00813765325525028,99.86823172300981,15.711226579792855,fahrt,geradeaus,street,wind,48.775845,9.183424
8.428987940628577,1542.075866515832,0.0,7.448627353324156,0.5964304556214648,-0.009565216244080745,99.85223345378525,13.86671278599652,fahrt,geradeaus,unknown,heavy_rain,48.775845,9.183478
8.345242677033884,1524.9824437439697,0.0,10.317079382153429,-0.08374526359469314,-0.021362632316826714,99.83870380488695,15.625590393967336,fahrt,geradeaus,street,rain,48.775845,9.183533
7.818473076717464,1407.9498597455279,0.0,7.608320708821921,-0.5267696003164195,-0.019086894699916455,99.82504111865096,15.486972480785582,fahrt,geradeaus,unknown,rain,48.775845,9.183587
8.223265588014971,1395.8210841447933,0.0,9.803029030981152,0.40479251129750704,0.03326925544863931,99.81206227312491,14.576701687955847,fahrt,geradeaus,unknown,clear,48.775845,9.183642
7.338650193822799,1385.9184497774072,0.0,10.799548453446873,-0.8846153941921724,-0.04986234138007409,99.79903519477787,14.094520944639939,fahrt,geradeaus,outdoor,snow,48.775845,9.183697
8.368757784233543,1548.3918080349074,0.0,9.58912488426474,1.0301075904107435,-0.046680884000493854,99.78443485128342,14.049977945089418,fahrt,geradeaus,field,rain,48.775845,9.183751
8.21721182177293,1452.6234924659373,0.0,8.811700088606411,-0.15154596246061303,0.011886780116613895,99.77217387611144,13.553942145611545,fahrt,geradeaus,field,wind,48.775845,9.183806
