gps_lat,gps_lon
48.775845,9.183732
48.775846,9.183732
48.775847,9.183732
48.775848,9.183732
48.775848,9.183732
48.775849,9.183732
48.77585,9.183732
48.775851,9.183732
48.775852,9.183732
48.775853,9.183732
48.775854,9.183732
48.775855,9.183732
48.775855,9.183732
48.775856,9.183732
48.775857,9.183732
48.775858,9.183732
48.775859,9.183732
48.77586,9.183732
48.775861,9.183732
48.775862,9.183732
48.775862,9.183732
48.775863,9.183731
48.775864,9.183731
48.775865,9.183731
48.775866,9.183731
48.775867,9.183731
48.775868,9.183731
48.775869,9.183731
48.775869,9.183731
48.77587,9.183731
48.775871,9.183731
48.775872,9.183731
48.775873,9.183731
48.775874,9.183731
48.775875,9.183731
48.775876,9.183731
48.775876,9.18373
48.775877,9.18373
48.775878,9.18373
48.775879,9.18373
48.77588,9.18373
48.775881,9.18373
48.775882,9.18373
48.775882,9.18373
48.775883,9.18373
48.775884,9.18373
48.775885,9.183729
48.775886,9.183729
48.775887,9.183729
48.775888,9.183729
48.775889,9.183729
48.775889,9.183729
48.77589,9.183729
48.775891,9.183729
48.775892,9.183728
48.775893,9.183728
48.775894,9.183728
48.775895,9.183728
48.775896,9.183728
48.775896,9.183728
48.775897,9.183728
48.775898,9.183727
48.775899,9.183727
48.7759,9.183727
48.775901,9.183727
48.775902,9.183727
48.775902,9.183727
48.775903,9.183727
48.775904,9.183726
48.775905,9.183726
48.775906,9.183726
48.775907,9.183726
48.775908,9.183726
48.775909,9.183726
48.775909,9.183725
48.77591,9.183725
48.775911,9.183725
48.775912,9.183725
48.775913,9.183725
48.775914,9.183724
48.775915,9.183724
48.775915,9.183724
48.775916,9.183724
48.775917,9.183724
48.775918,9.183723
48.775919,9.183723
48.77592,9.183723
48.775921,9.183723
48.775921,9.183723
48.775922,9.183722
48.775923,9.183722
48.775924,9.183722
48.775925,9.183722
48.775926,9.183721
48.775927,9.183721
48.775928,9.183721
48.775928,9.183721
48.775929,9.183721
48.77593,9.18372
48.775931,9.18372
48.775932,9.18372
48.775933,9.18372
48.775934,9.183719
48.775934,9.183719
48.775935,9.183719
48.775936,9.183719
48.775937,9.183718
48.775938,9.183718
48.775939,9.183718
48.77594,9.183718
48.77594,9.183717
48.775941,9.183717
48.775942,9.183717
48.775943,9.183716
48.775944,9.183716
48.775945,9.183716
48.775946,9.183716
48.775946,9.183715
48.775947,9.183715
48.775948,9.183715
48.775949,9.183715
48.77595,9.183714
48.775951,9.183714
48.775952,9.183714
48.775952,9.183713
48.775953,9.183713
48.775954,9.183713
48.775955,9.183712
48.775956,9.183712
48.775957,9.183712
48.775957,9.183711
48.775958,9.183711
48.775959,9.183711
48.77596,9.183711
48.775961,9.18371
48.775962,9.18371
48.775963,9.18371
48.775963,9.183709
48.775964,9.183709
48.775965,9.183709
48.775966,9.183708
48.775967,9.183708
48.775968,9.183708
48.775968,9.183707
48.775969,9.183707
48.77597,9.183707
48.775971,9.183706
48.775972,9.183706
48.775973,9.183705
48.775974,9.183705
48.775974,9.183705
48.775975,9.183704
48.775976,9.183704
48.775977,9.183704
48.775978,9.183703
48.775979,9.183703
48.775979,9.183703
48.77598,9.183702
48.775981,9.183702
48.775982,9.183701
48.775983,9.183701
48.775984,9.183701
48.775984,9.1837
48.775985,9.1837
48.775986,9.183699
48.775987,9.183699
48.775988,9.183699
48.775989,9.183698
48.77599,9.183698
48.77599,9.183697
48.775991,9.183697
48.775992,9.183697
48.775993,9.183696
48.775994,9.183696
48.775995,9.183695
48.775995,9.183695
48.775996,9.183695
48.775997,9.183694
48.775998,9.183694
48.775999,9.183693
48.776,9.183693
48.776,9.183692
48.776001,9.183692
48.776002,9.183692
48.776003,9.183691
48.776004,9.183691
48.776004,9.18369
48.776005,9.18369
48.776006,9.183689
48.776007,9.183689
48.776008,9.183688
48.776009,9.183688
48.776009,9.183688
48.77601,9.183687
48.776011,9.183687
48.776012,9.183686
48.776013,9.183686
48.776014,9.183685
48.776014,9.183685
48.776015,9.183684
48.776016,9.183684
48.776017,9.183683
48.776018,9.183683
48.776018,9.183682
48.776019,9.183682
48.77602,9.183681
48.776021,9.183681
48.776022,9.18368
48.776023,9.18368
48.776023,9.183679
48.776024,9.183679
48.776025,9.183678
48.776026,9.183678
48.776027,9.183677
48.776027,9.183677
48.776028,9.183676
48.776029,9.183676
48.77603,9.183675
48.776031,9.183675
48.776031,9.183674
48.776032,9.183674
48.776033,9.183673
48.776034,9.183673
48.776035,9.183672
48.776036,9.183672
48.776036,9.183671
48.776037,9.183671
48.776038,9.18367
48.776039,9.183669
48.77604,9.183669
48.77604,9.183668
48.776041,9.183668
48.776042,9.183667
48.776043,9.183667
48.776044,9.183666
48.776044,9.183666
48.776045,9.183665
48.776046,9.183665
48.776047,9.183664
48.776048,9.183663
48.776048,9.183663
48.776049,9.183662
48.77605,9.183662
48.776051,9.183661
48.776052,9.183661
48.776052,9.18366
48.776053,9.183659
48.776054,9.183659
48.776055,9.183658
48.776056,9.183658
48.776056,9.183657
48.776057,9.183656
48.776058,9.183656
48.776059,9.183655
48.776059,9.183655
48.77606,9.183654
48.776061,9.183653
48.776062,9.183653
48.776063,9.183652
48.776063,9.183652
48.776064,9.183651
48.776065,9.18365
48.776066,9.18365
48.776067,9.183649
48.776067,9.183649
48.776068,9.183648
48.776069,9.183647
48.77607,9.183647
48.77607,9.183646
48.776071,9.183645
48.776072,9.183645
48.776073,9.183644
48.776074,9.183644
48.776074,9.183643
48.776075,9.183642
48.776076,9.183642
48.776077,9.183641
48.776077,9.18364
48.776078,9.18364
48.776079,9.183639
48.77608,9.183638
48.776081,9.183638
48.776081,9.183637
48.776082,9.183636
48.776083,9.183636
48.776084,9.183635
48.776084,9.183634
48.776085,9.183634
48.776086,9.183633
48.776087,9.183632
48.776087,9.183632
48.776088,9.183631
48.776089,9.18363
48.77609,9.18363
48.77609,9.183629
48.776091,9.183628
48.776092,9.183628
48.776093,9.183627
48.776093,9.183626
48.776094,9.183626
48.776095,9.183625
48.776096,9.183624
48.776097,9.183623
48.776097,9.183623
48.776098,9.183622
48.776099,9.183621
48.7761,9.183621
48.7761,9.18362
48.776101,9.183619
48.776102,9.183618
48.776103,9.183618
48.776103,9.183617
48.776104,9.183616
48.776105,9.183616
48.776106,9.183615
48.776106,9.183614
48.776107,9.183613
48.776108,9.183613
48.776108,9.183612
48.776109,9.183611
48.77611,9.18361
48.776111,9.18361
48.776111,9.183609
48.776112,9.183608
48.776113,9.183607
48.776114,9.183607
48.776114,9.183606
48.776115,9.183605
48.776116,9.183604
48.776117,9.183604
48.776117,9.183603
48.776118,9.183602
48.776119,9.183601
48.77612,9.183601
48.77612,9.1836
48.776121,9.183599
48.776122,9.183598
48.776122,9.183598
48.776123,9.183597
48.776124,9.183596
48.776125,9.183595
48.776125,9.183594
48.776126,9.183594
48.776127,9.183593
48.776127,9.183592
48.776128,9.183591
48.776129,9.183591
48.77613,9.18359
48.77613,9.183589
48.776131,9.183588
48.776132,9.183587
48.776133,9.183587
48.776133,9.183586
48.776134,9.183585
48.776135,9.183584
48.776135,9.183583
48.776136,9.183582
48.776137,9.183582
48.776137,9.183581
48.776138,9.18358
48.776139,9.183579
48.77614,9.183578
48.77614,9.183578
48.776141,9.183577
48.776142,9.183576
48.776142,9.183575
48.776143,9.183574
48.776144,9.183573
48.776145,9.183573
48.776145,9.183572
48.776146,9.183571
